=== Project Metadata ===
simulation_id,name,timestamp
21,Untitled Project,2025-05-31 21:49:33

=== Shape Metadata ===
shape_id,name,coords,count,collectarea,percentofstrikes,kdtreepath
233,,"(-25.400000100000398, -266.7000001000015, 7633.383822493728)",0,0.0,0.0,data/233_points.pkl
234,,"(-25.400000100000398, -266.7000001000015, 8090.583822493729)",0,0.0,0.0,data/234_points.pkl
235,,"(-25.400000100000398, -266.7000001000015, 8547.783822493731)",0,0.0,0.0,data/235_points.pkl
236,,"(-25.400000100000398, -266.7000001000015, 9004.98382249373)",0,0.0,0.0,data/236_points.pkl
237,,"(-25.400000100000398, -266.7000001000015, 9462.183822493731)",0,0.0,0.0,data/237_points.pkl
238,,"(-8828.37094068082, -1600.9709407097453, 10481.203447870848)",201,9688271.556,0.0201,
239,,"(-2630.0000001000026, -50.800000100000034, 10429.632507290034)",29,1397810.324,0.0029,
240,,"(-25.400000099999943, -406.40000009999994, 10429.632507290034)",1,48200.35600000001,0.0001,data/240_points.pkl
241,,"(-25.40000009999997, -406.40000009999994, 10429.632507290034)",2,96400.71200000001,0.0002,data/241_points.pkl
242,,"(-25.400000100000057, -406.40000009999994, 10429.632507290034)",0,0.0,0.0,data/242_points.pkl
243,,"(-801.2430001000004, -1828.764055492657, 4968.6670531088885)",3,144601.068,0.0003,
244,,"(-16.850000100004536, -463.4701886493376, 4895.754978170198)",0,0.0,0.0,data/244_points.pkl
245,,"(-24.909685678049755, -432.6254438510218, 4890.277065803707)",0,0.0,0.0,data/245_points.pkl
246,,"(-24.909759157948656, -477.320144532579, 4069.0123677803363)",0,0.0,0.0,data/246_points.pkl
247,,"(-25.40168619654969, -19.89091028675466, 4075.990615640284)",0,0.0,0.0,data/247_points.pkl
248,,"(-16.965293127893347, -416.0384910211569, 4885.242023959532)",0,0.0,0.0,data/248_points.pkl
249,,"(-21.905000100000848, -460.36025556755294, 2844.0716709560747)",0,0.0,0.0,data/249_points.pkl
250,,"(-25.71584208369211, -1197.2085952069474, 4906.854355618392)",0,0.0,0.0,data/250_points.pkl
251,,"(-25.71584208369211, -479.66040740846074, 4881.468005439833)",0,0.0,0.0,data/251_points.pkl
252,,"(-16.85000009999976, -563.1249925197817, 4414.743018939292)",0,0.0,0.0,data/252_points.pkl
253,,"(-16.85000009999976, -533.5777608240796, 4008.343018939292)",0,0.0,0.0,data/253_points.pkl
254,,"(-16.85000009999976, -518.6751048117171, 3656.8716844555343)",0,0.0,0.0,data/254_points.pkl
255,,"(-16.85000009999976, -489.1278731160169, 3250.4716844555346)",0,0.0,0.0,data/255_points.pkl
256,,"(-16.85000009999976, -278.377427113855, 4877.311180529114)",0,0.0,0.0,data/256_points.pkl
257,,"(-16.85000009999976, -243.82900990902317, 4410.586180529112)",0,0.0,0.0,data/257_points.pkl
258,,"(-16.85000009999976, -212.37109937840205, 4004.186180529113)",0,0.0,0.0,data/258_points.pkl
259,,"(-16.85000009999976, -243.82900990902363, 3652.7148460453536)",0,0.0,0.0,data/259_points.pkl
260,,"(-16.85000009999976, -243.82900990902363, 3246.314846045355)",0,0.0,0.0,data/260_points.pkl
261,,"(-801.2430001000001, -1828.764055492657, 4968.6670531088885)",0,0.0,0.0,
262,,"(-16.850000100004536, -463.47018864933625, 4895.754978170198)",0,0.0,0.0,data/262_points.pkl
263,,"(-24.909685678050437, -432.6254438510218, 4890.277065803707)",0,0.0,0.0,data/263_points.pkl
264,,"(-24.909759157948656, -477.3201445325785, 4069.0123677803363)",0,0.0,0.0,data/264_points.pkl
265,,"(-25.40168619654969, -19.89091028675466, 4075.990615640284)",0,0.0,0.0,data/265_points.pkl
266,,"(-16.965293127893347, -416.03849102115737, 4885.242023959532)",0,0.0,0.0,data/266_points.pkl
267,,"(-21.905000100000507, -460.36025556755226, 2844.0716709560747)",0,0.0,0.0,data/267_points.pkl
268,,"(-25.71584208369154, -1197.2085952069478, 4906.854355618392)",0,0.0,0.0,data/268_points.pkl
